transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_ac6c746f,CUST_61807,5652623773694665,2024-10-05 03:08:16.726296+00:00,Retail,physical,Nike Store,15.94,BRL,Brazil,Unknown City,medium,Gold Credit,False,Safari,web,984f5381c0e4be296785fbdcdd67deed,153.39.194.39,1,False,3,True,"{'num_transactions': 876, 'total_amount': 22379665.24140432, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1933314.6187519196}",True
TX_0c8c4a01,CUST_12473,6360675664003084,2024-10-14 11:51:21.448542+00:00,Entertainment,events,Ticketmaster,54424.37,JPY,Japan,Unknown City,medium,Premium Debit,False,Android App,mobile,2a967756a551db2e1b2132c87c4d3ac1,213.167.181.246,0,True,11,False,"{'num_transactions': 807, 'total_amount': 54163543.47190171, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 4293846.477200602}",False
TX_03467e03,CUST_88146,378381975072032,2024-10-06 18:39:08.787985+00:00,Travel,booking,Airbnb,2391.97,BRL,Brazil,Unknown City,medium,Basic Credit,False,Chrome,web,95ea968064ad262005567958b4bb13fc,217.33.201.234,0,True,18,True,"{'num_transactions': 318, 'total_amount': 7049696.055755533, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 930460.9458845485}",False
TX_32d00d60,CUST_90054,376778512471746,2024-10-09 03:05:27.729644+00:00,Retail,online,Etsy,66685.16,MXN,Mexico,Unknown City,medium,Gold Credit,False,Edge,web,e17093c245082c88a5cdd0d7ed006b1c,101.134.47.55,1,False,3,False,"{'num_transactions': 280, 'total_amount': 8657650.014730792, 'unique_merchants': 94, 'unique_countries': 12, 'max_single_amount': 2936290.29960017}",True
TX_975dab0f,CUST_47875,5128531850988254,2024-10-07 20:42:04.886865+00:00,Gas,major,Exxon,3.63,EUR,France,Unknown City,medium,Basic Debit,False,Android App,mobile,0cb734118b1cc5edb7cf63178de8980e,66.86.17.242,1,False,20,False,"{'num_transactions': 666, 'total_amount': 18423359.79822415, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 2843223.56379156}",True
TX_587a39a0,CUST_92625,6669034591840176,2024-10-11 17:15:52.462854+00:00,Retail,online,Newegg,533.35,AUD,Australia,Unknown City,medium,Basic Credit,False,Firefox,web,87209d763211480aac92840575825d04,241.87.130.99,0,False,17,False,"{'num_transactions': 585, 'total_amount': 18536802.24318669, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1926026.4058197706}",False
TX_47b3da61,CUST_48110,6946200734019037,2024-10-20 08:11:27.047458+00:00,Healthcare,medical,Urgent Care,1943.38,USD,USA,New York,large,Platinum Credit,False,iOS App,mobile,cdaa5a943dea53ac47fdf98d416081e4,62.61.224.106,0,False,8,True,"{'num_transactions': 123, 'total_amount': 2658551.562770971, 'unique_merchants': 71, 'unique_countries': 12, 'max_single_amount': 733040.9084933563}",False
TX_f59da0a9,CUST_95361,372610327937757,2024-10-01 19:13:40.996160+00:00,Grocery,physical,Whole Foods,200.08,AUD,Australia,Unknown City,medium,Basic Debit,False,Chrome,web,15b7cebe1e14445c46c8b8639046d6d4,249.55.29.54,0,False,19,False,"{'num_transactions': 1268, 'total_amount': 37577277.79976364, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1896855.5152560782}",False
TX_befdfa52,CUST_98719,373475735923818,2024-10-27 10:42:25.307004+00:00,Education,online,MasterClass,3869.52,BRL,Brazil,Unknown City,medium,Gold Credit,False,Android App,mobile,8921b7ed8b15c404c98818ae87e13026,195.218.139.151,1,False,10,True,"{'num_transactions': 94, 'total_amount': 3077560.43855419, 'unique_merchants': 55, 'unique_countries': 9, 'max_single_amount': 1397924.2020221364}",True
TX_21df325b,CUST_99141,5306833295604940,2024-10-16 20:41:49.234163+00:00,Retail,physical,Home Depot,943.32,EUR,Germany,Unknown City,medium,Platinum Credit,False,Edge,web,de082cd52309957d6255b27672bdd36b,161.30.242.4,0,False,20,False,"{'num_transactions': 672, 'total_amount': 20440354.628565393, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1102460.7068550354}",False
TX_e5cd4328,CUST_36804,373952437984785,2024-10-23 03:09:09.846730+00:00,Gas,major,Chevron,17516.88,JPY,Japan,Unknown City,medium,Basic Debit,False,Firefox,web,387f3cd552953f1852158eb86c0ed242,57.234.237.213,1,False,3,False,"{'num_transactions': 128, 'total_amount': 2273967.1002000216, 'unique_merchants': 71, 'unique_countries': 12, 'max_single_amount': 464787.9549892604}",False
TX_d55ba9cf,CUST_98431,372674215860257,2024-10-29 14:41:23.892279+00:00,Gas,major,Exxon,27297.85,RUB,Russia,Unknown City,medium,Basic Debit,False,Chrome,web,36cf47f65afd9fb0ffaf85f9dd8d20aa,159.92.181.89,0,False,14,False,"{'num_transactions': 40, 'total_amount': 1462988.356036491, 'unique_merchants': 37, 'unique_countries': 6, 'max_single_amount': 777545.0259990483}",False
TX_28bf476a,CUST_20782,377274927400123,2024-10-30 16:24:40.785618+00:00,Education,supplies,Barnes & Noble,153.18,SGD,Singapore,Unknown City,medium,Basic Debit,False,Edge,web,5b71dac4614424920281cec0bd3e1930,118.27.90.46,0,False,16,False,"{'num_transactions': 0, 'total_amount': 153.1838403918399, 'unique_merchants': 0, 'unique_countries': 0, 'max_single_amount': 153.1838403918399}",False
TX_2dd63c35,CUST_45223,5480486034443282,2024-10-12 16:31:12.705398+00:00,Restaurant,premium,Ruth's Chris,779.91,AUD,Australia,Unknown City,medium,Platinum Credit,False,Android App,mobile,f5238b2f6a0a9c7471f81df6a0c04750,201.201.113.76,0,False,16,True,"{'num_transactions': 572, 'total_amount': 13964469.152502166, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1303852.6521463164}",False
TX_7f172f1c,CUST_51542,6669803197152776,2024-10-01 13:38:03.975533+00:00,Travel,hotels,Hilton,153006.55,JPY,Japan,Unknown City,medium,Platinum Credit,False,Edge,web,46bbe6850fe63a4df2863b915cc05c73,192.166.120.234,0,True,13,False,"{'num_transactions': 3207, 'total_amount': 212307440.27938625, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3971626.106066928}",False
TX_7e0cb432,CUST_13270,375193520021395,2024-09-30 07:04:27.454827+00:00,Grocery,physical,Publix,4195.1,MXN,Mexico,Unknown City,medium,Basic Debit,False,Firefox,web,8e1ab37b52a3405d119fc1592eb74cff,93.163.126.183,1,False,7,False,"{'num_transactions': 234, 'total_amount': 4494491.445812957, 'unique_merchants': 91, 'unique_countries': 12, 'max_single_amount': 684788.6080521848}",False
TX_bb74560d,CUST_56149,6305621438431852,2024-10-10 09:38:00.431789+00:00,Travel,airlines,JetBlue,406796.49,RUB,Russia,Unknown City,medium,Basic Credit,False,Chrome,web,ff9fb69ec5a4e47ec99f5e9d7d293f13,75.105.84.225,0,True,9,False,"{'num_transactions': 1127, 'total_amount': 53320010.59693231, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4356998.795861928}",True
TX_6075d4f5,CUST_37558,375351090429519,2024-10-30 07:48:54.770666+00:00,Entertainment,events,StubHub,60449.87,RUB,Russia,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,ce593c16bfeb61b068f46cbd403d5c5c,120.205.169.166,1,True,7,False,"{'num_transactions': 20, 'total_amount': 3324955.985932401, 'unique_merchants': 17, 'unique_countries': 5, 'max_single_amount': 747091.0669044149}",True
TX_1d9ec8b8,CUST_15770,6819459520096286,2024-10-15 02:45:49.453346+00:00,Travel,booking,Booking.com,4809629.87,NGN,Nigeria,Unknown City,medium,Platinum Credit,False,Chrome,web,ef581cf0e799e217a8abba51064ecbce,235.180.100.134,1,True,2,False,"{'num_transactions': 718, 'total_amount': 31045228.15435783, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 4809629.871001298}",True
TX_32f38577,CUST_75594,6629956071416136,2024-10-15 18:52:40.472530+00:00,Gas,local,Highway Gas Stop,109662.95,NGN,Nigeria,Unknown City,medium,Basic Debit,False,iOS App,mobile,03e2c3106ec8ea649fc7a48e58baf4e6,10.90.4.187,0,False,18,False,"{'num_transactions': 815, 'total_amount': 90812351.01434535, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2523699.7865561964}",False
TX_454f2950,CUST_35596,376966874678707,2024-10-02 12:30:45.198258+00:00,Retail,physical,Costco,188559.57,NGN,Nigeria,Unknown City,medium,Basic Debit,False,Firefox,web,1060a213fc0640077059e5a527d9f559,176.40.127.142,0,False,12,False,"{'num_transactions': 1219, 'total_amount': 124136931.48858482, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1683269.2805161313}",False
TX_5f899846,CUST_94543,4239748839123451,2024-10-28 08:41:24.765018+00:00,Education,supplies,Chegg,1006.76,AUD,Australia,Unknown City,medium,Platinum Credit,False,Chrome,web,5cbaff57f430d79ab7af8d47b2748d7c,41.171.67.81,0,False,8,False,"{'num_transactions': 46, 'total_amount': 1093758.752514997, 'unique_merchants': 39, 'unique_countries': 9, 'max_single_amount': 886033.7297471556}",False
TX_bf98052d,CUST_65877,6461643312300425,2024-10-20 12:35:54.942536+00:00,Education,online,edX,36018.22,JPY,Japan,Unknown City,medium,Basic Credit,False,Chrome,web,91ec774d7448c075e828ef0abff9fc51,46.101.219.0,0,False,12,True,"{'num_transactions': 20, 'total_amount': 1605013.9100321417, 'unique_merchants': 15, 'unique_countries': 7, 'max_single_amount': 941527.1690556697}",False
TX_8937dd9e,CUST_21074,4062182159924490,2024-10-06 04:59:48.637510+00:00,Retail,online,Wayfair,23616.44,BRL,Brazil,Unknown City,medium,Premium Debit,True,Chip Reader,pos,be7e7e2683cad3d5082dcc56b046ef50,172.1.36.161,1,False,4,True,"{'num_transactions': 679, 'total_amount': 19474948.060837448, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2535806.912304052}",True
TX_9ac5acc5,CUST_14915,6349181124148680,2024-10-13 03:11:06.001180+00:00,Restaurant,fast_food,Taco Bell,2895.47,MXN,Mexico,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,fc841e513da905da7664e80c91f54339,201.242.84.159,1,False,3,True,"{'num_transactions': 306, 'total_amount': 4304932.140704111, 'unique_merchants': 94, 'unique_countries': 12, 'max_single_amount': 844508.8177460922}",True
TX_b5574038,CUST_98610,4403400320405381,2024-10-12 08:57:52.868997+00:00,Education,online,edX,143993.33,RUB,Russia,Unknown City,medium,Gold Credit,True,NFC Payment,pos,39b0fa49424c04b3444a4d4897ab995e,218.203.246.148,1,False,8,True,"{'num_transactions': 710, 'total_amount': 47524182.49994008, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 995523.0833670156}",True
TX_e702bfa4,CUST_10335,5691463675938867,2024-10-01 23:50:25.291523+00:00,Retail,physical,Home Depot,268.94,EUR,Germany,Unknown City,medium,Basic Debit,False,Chrome,web,9b8353ab4814199aca8d5b74f363df52,99.117.182.78,0,False,23,False,"{'num_transactions': 1014, 'total_amount': 25343030.336532492, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2093951.5340922417}",False
TX_c42f43e0,CUST_68747,6097730075900301,2024-10-11 08:34:20.438546+00:00,Education,supplies,Barnes & Noble,6584.68,MXN,Mexico,Unknown City,medium,Premium Debit,False,Chrome,web,ed4604215e0311e238567bf8c1977144,212.153.200.192,0,False,8,False,"{'num_transactions': 518, 'total_amount': 18397003.16882304, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1777195.2416806465}",False
TX_15858744,CUST_49469,6337417052027718,2024-10-05 17:42:39.398846+00:00,Healthcare,pharmacy,Rite Aid,416.99,EUR,France,Unknown City,medium,Premium Debit,False,iOS App,mobile,fd69ae3b4f043b552d3ed358ce158617,154.129.188.71,0,False,17,True,"{'num_transactions': 287, 'total_amount': 5700335.710088236, 'unique_merchants': 94, 'unique_countries': 12, 'max_single_amount': 834831.4464000331}",False
TX_a1be76b8,CUST_41475,6865144653302213,2024-10-27 07:16:17.350150+00:00,Retail,online,Etsy,702.81,GBP,UK,Unknown City,medium,Basic Credit,False,Chrome,web,e1ac04a090e68e18964d4eed62ba5b37,52.59.15.160,1,False,7,True,"{'num_transactions': 89, 'total_amount': 4372109.288199748, 'unique_merchants': 61, 'unique_countries': 12, 'max_single_amount': 1029185.0228687598}",False
TX_3fb47098,CUST_96224,5490024409162456,2024-10-30 08:12:39.010195+00:00,Gas,major,BP,2634.14,BRL,Brazil,Unknown City,medium,Gold Credit,False,Safari,web,df0feed908c6c34c97af89fcd2f833d6,132.122.105.17,1,False,8,False,"{'num_transactions': 13, 'total_amount': 1334803.7202839553, 'unique_merchants': 13, 'unique_countries': 4, 'max_single_amount': 317547.7997290701}",False
TX_aff93686,CUST_63432,379468521016941,2024-10-01 23:17:21.457799+00:00,Healthcare,medical,Medical Center,1633.74,EUR,France,Unknown City,medium,Platinum Credit,True,Magnetic Stripe,pos,31ad4a44598fad3659bd645252e96bd4,60.158.110.77,1,False,23,False,"{'num_transactions': 1028, 'total_amount': 357860621.2280006, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5593173.273006551}",True
TX_74c70363,CUST_89559,371404279729375,2024-10-04 02:26:50.262928+00:00,Restaurant,fast_food,Subway,685.17,MXN,Mexico,Unknown City,medium,Basic Credit,True,Chip Reader,pos,d9a1101dd8104121ce6483823fc42906,18.115.154.146,1,False,2,False,"{'num_transactions': 415, 'total_amount': 8683687.437609447, 'unique_merchants': 102, 'unique_countries': 12, 'max_single_amount': 981673.9336296808}",True
TX_eb608c0c,CUST_89463,5062156882282365,2024-10-19 12:55:43.831728+00:00,Retail,online,Newegg,826.39,USD,USA,Chicago,large,Gold Credit,False,Edge,web,8e0d72770c9f651365fb668205e31d0c,47.66.42.246,0,False,12,True,"{'num_transactions': 94, 'total_amount': 2595729.757474628, 'unique_merchants': 57, 'unique_countries': 11, 'max_single_amount': 822470.2503688823}",False
TX_8c03399f,CUST_93132,370208424325737,2024-10-11 03:31:44.541331+00:00,Entertainment,streaming,Spotify,2594.11,MXN,Mexico,Unknown City,medium,Gold Credit,True,NFC Payment,pos,1a886f05f1e298b9551fa0d403959189,218.0.216.71,1,True,3,False,"{'num_transactions': 566, 'total_amount': 115202777.1604039, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5926429.171206682}",True
TX_954c6924,CUST_57793,378828159537909,2024-10-22 14:53:38.627572+00:00,Grocery,online,Instacart,119276.37,JPY,Japan,Unknown City,medium,Platinum Credit,False,Safari,web,7b8ad5a329ad0bed7f983ee05aaaf4fd,246.103.218.242,0,False,14,False,"{'num_transactions': 334, 'total_amount': 33805051.98250081, 'unique_merchants': 96, 'unique_countries': 12, 'max_single_amount': 3940915.448322035}",False
TX_0968aa2f,CUST_57369,375787600277817,2024-10-28 05:07:10.215536+00:00,Restaurant,premium,Capital Grille,179.91,GBP,UK,Unknown City,medium,Basic Credit,False,Android App,mobile,df10dfae11cbe36fe06cbbd4225a7117,248.21.133.214,0,False,5,False,"{'num_transactions': 55, 'total_amount': 459568.806070249, 'unique_merchants': 44, 'unique_countries': 9, 'max_single_amount': 235969.28419947496}",False
TX_63136f1d,CUST_66771,378726638454631,2024-10-28 18:57:11.120564+00:00,Restaurant,premium,Capital Grille,321.53,EUR,Germany,Unknown City,medium,Basic Debit,False,Safari,web,4e3de45797c687fcec20ff8140506846,116.154.180.194,0,False,18,False,"{'num_transactions': 76, 'total_amount': 2243139.904185061, 'unique_merchants': 54, 'unique_countries': 7, 'max_single_amount': 968924.7621321721}",False
TX_8f6b3375,CUST_23594,376207044923289,2024-10-08 19:43:30.453857+00:00,Gas,major,Shell,124.73,SGD,Singapore,Unknown City,medium,Basic Debit,False,Edge,web,787df0458d33e016b63325fde1bda85c,99.41.30.160,1,False,19,False,"{'num_transactions': 312, 'total_amount': 14762434.706006445, 'unique_merchants': 95, 'unique_countries': 12, 'max_single_amount': 1699959.7218225317}",False
TX_3c13c26a,CUST_44604,6201310836760386,2024-10-09 22:10:15.785914+00:00,Restaurant,fast_food,McDonald's,1986.19,MXN,Mexico,Unknown City,medium,Basic Credit,False,iOS App,mobile,1a04b396080157f43685de801171d94a,102.14.253.34,0,False,22,False,"{'num_transactions': 582, 'total_amount': 18188376.495844103, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1968174.7129273969}",False
TX_680d7747,CUST_66016,6549715751835990,2024-10-19 21:59:22.569115+00:00,Healthcare,pharmacy,DuaneReade,978.37,USD,USA,Phoenix,medium,Premium Debit,False,iOS App,mobile,adb636a5f6f7b935922a4c88eb0d23e9,48.91.188.232,1,False,21,True,"{'num_transactions': 194, 'total_amount': 10803944.208505752, 'unique_merchants': 88, 'unique_countries': 12, 'max_single_amount': 881109.8242188352}",True
TX_33de0c34,CUST_84183,372911302573439,2024-10-19 19:45:08.764851+00:00,Entertainment,events,Regal Cinemas,1662.4,BRL,Brazil,Unknown City,medium,Premium Debit,False,iOS App,mobile,db96108dea161700a306a6107ce8f8fc,178.12.105.174,0,True,19,True,"{'num_transactions': 683, 'total_amount': 22206740.113979455, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3391530.72141205}",False
TX_c2fbb870,CUST_98217,5518540241241396,2024-10-09 12:07:40.189676+00:00,Entertainment,events,Regal Cinemas,201.85,USD,USA,San Diego,medium,Basic Credit,False,Edge,web,aa4cc5a1e0e2a16faa11f0c41f9ead7b,238.174.162.125,0,True,12,False,"{'num_transactions': 1016, 'total_amount': 17320558.142269712, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1054506.7055919084}",False
TX_5171d35a,CUST_72286,6363966466434222,2024-10-27 11:55:44.623002+00:00,Grocery,online,Walmart Grocery,22793.15,JPY,Japan,Unknown City,medium,Basic Debit,False,Firefox,web,bd4a2405ca14493474e4a1726e6d0d8c,18.184.178.113,0,False,11,True,"{'num_transactions': 161, 'total_amount': 7563745.745698403, 'unique_merchants': 77, 'unique_countries': 12, 'max_single_amount': 944495.8456341713}",False
TX_e205d124,CUST_32170,6467382886485940,2024-10-01 20:53:34.623651+00:00,Travel,airlines,JetBlue,193272.48,JPY,Japan,Unknown City,medium,Platinum Credit,False,iOS App,mobile,429689decccc0cde6180b2bc1b5e59de,74.229.182.114,0,True,20,False,"{'num_transactions': 128, 'total_amount': 11209158.38093224, 'unique_merchants': 66, 'unique_countries': 12, 'max_single_amount': 580307.4562985871}",False
TX_fc5209fb,CUST_84710,5248084047228049,2024-10-02 22:33:14.339814+00:00,Education,online,Udemy,1488.33,AUD,Australia,Unknown City,medium,Platinum Credit,False,Android App,mobile,262b1571ac04e196f6f053ecef6596da,94.2.40.53,0,False,22,False,"{'num_transactions': 366, 'total_amount': 11482424.984039623, 'unique_merchants': 100, 'unique_countries': 12, 'max_single_amount': 927072.6745216969}",False
TX_7febb5cd,CUST_57153,5530375225832934,2024-10-26 08:00:11.430554+00:00,Education,supplies,Chegg,427.49,SGD,Singapore,Unknown City,medium,Premium Debit,False,Edge,web,01501b13be2e3f52f3963e5bc320372a,87.29.112.230,0,False,8,True,"{'num_transactions': 201, 'total_amount': 7875639.32613347, 'unique_merchants': 86, 'unique_countries': 12, 'max_single_amount': 2530669.072349491}",False
TX_f12f810f,CUST_12844,6793955097916301,2024-10-07 06:57:56.618262+00:00,Education,online,MasterClass,31576.43,RUB,Russia,Unknown City,medium,Gold Credit,False,Safari,web,13b299851f893cd8e72b7c408d601206,32.186.234.197,0,False,6,False,"{'num_transactions': 17, 'total_amount': 628370.642342683, 'unique_merchants': 16, 'unique_countries': 5, 'max_single_amount': 190950.59068399915}",False
TX_9704acee,CUST_85546,377030124740020,2024-10-24 22:18:15.529538+00:00,Retail,physical,Costco,32791.86,JPY,Japan,Unknown City,medium,Basic Credit,False,iOS App,mobile,56c1a43f1467e968a824f96c8da1804f,150.121.53.116,0,False,22,False,"{'num_transactions': 79, 'total_amount': 3304238.45400394, 'unique_merchants': 54, 'unique_countries': 11, 'max_single_amount': 591128.7962724532}",False
TX_50dddd88,CUST_53691,376675686470902,2024-10-03 11:38:49.575924+00:00,Education,online,Skillshare,245.51,GBP,UK,Unknown City,medium,Gold Credit,False,iOS App,mobile,d7777cdaee0e3f54355e6b5d6772f9cd,163.96.155.235,0,False,11,False,"{'num_transactions': 1265, 'total_amount': 41014409.658581145, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5148659.788219446}",False
TX_6e895fa5,CUST_59723,6723346352478002,2024-10-12 06:04:09.677555+00:00,Grocery,online,FreshDirect,238.12,EUR,France,Unknown City,medium,Basic Debit,False,Firefox,web,348993edfa975afca114f773a1ea2b58,184.73.191.130,1,False,6,True,"{'num_transactions': 418, 'total_amount': 11429554.222409368, 'unique_merchants': 98, 'unique_countries': 12, 'max_single_amount': 701241.18783574}",False
TX_9356e6d4,CUST_59545,5207155507448829,2024-10-29 20:14:06.455130+00:00,Healthcare,medical,Medical Center,668.04,AUD,Australia,Unknown City,medium,Premium Debit,False,Firefox,web,aa69bdce13e4f4a501a435422a040270,1.147.212.193,0,False,20,False,"{'num_transactions': 42, 'total_amount': 562241.6063158758, 'unique_merchants': 38, 'unique_countries': 8, 'max_single_amount': 393803.19810781087}",False
TX_e0ebf0d5,CUST_34434,373008498753658,2024-10-17 01:16:09.449194+00:00,Education,supplies,Barnes & Noble,77582.3,RUB,Russia,Unknown City,medium,Gold Credit,False,iOS App,mobile,3a58cd47135996fd7fcc59cea544ae1e,161.61.26.180,1,False,1,False,"{'num_transactions': 227, 'total_amount': 3450401.811958419, 'unique_merchants': 86, 'unique_countries': 12, 'max_single_amount': 596878.5998647385}",True
TX_60f5fcb9,CUST_69354,4026547963011822,2024-10-16 09:22:08.119710+00:00,Healthcare,medical,Medical Center,45995.19,RUB,Russia,Unknown City,medium,Platinum Credit,False,Edge,web,a4ca9b7a28ef13ff16352bb323f80ec9,230.254.59.228,0,False,9,False,"{'num_transactions': 970, 'total_amount': 27398334.011872645, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1191374.9361227567}",False
TX_b79b8f8b,CUST_49250,378957043698955,2024-10-10 07:14:25.398977+00:00,Grocery,physical,Aldi,105395.78,NGN,Nigeria,Unknown City,medium,Premium Debit,False,Safari,web,59f17eb875534f8bcde0a7e34ac595d7,93.175.62.235,0,False,7,False,"{'num_transactions': 143, 'total_amount': 14241369.875828782, 'unique_merchants': 73, 'unique_countries': 12, 'max_single_amount': 690119.6339564441}",False
TX_a56566fb,CUST_15158,4099735245145730,2024-10-24 03:08:13.298345+00:00,Retail,physical,Target,21.61,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Edge,web,9a1524b5486b20f6ea792f6aa6466c76,32.196.120.162,1,False,3,False,"{'num_transactions': 228, 'total_amount': 15910517.072785353, 'unique_merchants': 87, 'unique_countries': 11, 'max_single_amount': 1500552.1551560303}",True
